city,cityid,cloudiness,country,date_time,humidity,lat,lon,max_temp,temp,wind
abrau-dyurso,584365.0,75.0,RU,1607567867.0,87.0,44.69,37.59,7.0,6.84,3.0
abha,110690.0,0.0,SA,1607567867.0,52.0,18.22,42.51,10.0,8.93,0.82
divnoye,566155.0,0.0,RU,1607567867.0,96.0,45.91,43.35,-3.87,-3.87,5.65
prince rupert,6113406.0,1.0,CA,1607567654.0,86.0,54.32,-130.32,5.0,4.23,3.1
souillac,933995.0,75.0,MU,1607567868.0,88.0,-20.52,57.52,24.0,24.0,5.1
new norfolk,2155415.0,52.0,AU,1607567868.0,46.0,-42.78,147.06,17.78,15.69,1.79
araouane,2460954.0,61.0,ML,1607567868.0,25.0,18.9,-3.53,17.23,17.23,4.82
itoman,1861280.0,75.0,JP,1607567868.0,94.0,26.12,127.67,21.0,21.0,6.2
san diego de los banos,3540618.0,2.0,CU,1607567869.0,82.0,22.65,-83.37,14.93,14.93,1.39
shemonaikha,1519226.0,89.0,KZ,1607567869.0,94.0,50.63,81.91,-14.01,-14.01,1.65
marquette,5000950.0,0.0,US,1607567869.0,68.0,46.53,-87.63,4.44,3.74,1.34
prabumulih,1631393.0,84.0,ID,1607567869.0,72.0,-3.45,104.25,28.58,28.58,1.98
mar del plata,3430863.0,0.0,AR,1607567870.0,82.0,-38.0,-57.56,16.67,16.23,1.5
san cristobal,3628473.0,49.0,VE,1607567870.0,91.0,7.77,-72.22,18.32,18.32,0.55
launceston,2160517.0,30.0,AU,1607567870.0,31.0,-41.45,147.17,18.33,17.43,6.7
namibe,3347019.0,79.0,AO,1607567870.0,79.0,-15.2,12.15,18.11,18.11,3.52
maceio,3395981.0,20.0,BR,1607567871.0,88.0,-9.67,-35.74,23.0,23.0,1.5
antropovo,581456.0,0.0,RU,1607567871.0,87.0,58.4,43.01,-8.07,-8.07,1.58
ayr,2656708.0,100.0,GB,1607567871.0,81.0,55.46,-4.63,6.0,5.11,2.6
sakaraha,1057095.0,90.0,MG,1607567678.0,68.0,-22.9,44.53,22.86,22.86,4.06
klaksvik,2618795.0,100.0,FO,1607567872.0,87.0,62.23,-6.59,7.0,7.0,11.3
great falls,5655240.0,90.0,US,1607567872.0,80.0,47.5,-111.3,1.0,0.6,2.1
san carlos de bariloche,7647007.0,0.0,AR,1607567859.0,47.0,-41.15,-71.31,14.0,14.0,6.7
lichtenburg,982899.0,1.0,ZA,1607567872.0,71.0,-26.15,26.16,18.87,18.87,6.08
pisco,3932145.0,0.0,PE,1607567666.0,82.0,-13.7,-76.22,19.0,18.95,6.7
hami,1529484.0,1.0,CN,1607567874.0,84.0,42.8,93.45,-4.35,-4.35,1.17
guerrero negro,4021858.0,12.0,MX,1607567874.0,72.0,27.98,-114.06,17.86,17.86,3.93
preobrazheniye,2017658.0,0.0,RU,1607567874.0,76.0,42.9,133.91,2.08,2.08,3.11
benguela,3351663.0,50.0,AO,1607567874.0,81.0,-12.58,13.41,21.95,21.95,1.02
port-cartier,6111696.0,58.0,CA,1607567874.0,85.0,50.03,-66.87,-4.0,-4.79,1.5
sanand,1257486.0,22.0,IN,1607567617.0,72.0,22.98,72.38,17.0,17.0,2.5
carnarvon,2074865.0,55.0,AU,1607567875.0,69.0,-24.87,113.63,25.0,25.0,7.2
berlevag,780687.0,98.0,NO,1607567875.0,87.0,70.86,29.09,1.67,1.67,9.74
shingu,1847947.0,40.0,JP,1607567875.0,51.0,33.73,135.98,16.0,16.0,1.5
fairbanks,5861897.0,75.0,US,1607567684.0,84.0,64.84,-147.72,-10.56,-14.16,1.1
abu dhabi,292968.0,20.0,AE,1607567304.0,56.0,24.47,54.37,21.0,19.7,2.1
ancud,3899695.0,0.0,CL,1607567877.0,81.0,-41.87,-73.82,13.33,12.05,2.1
coahuayana,4013679.0,2.0,MX,1607567877.0,80.0,18.73,-103.68,23.22,23.22,0.8
grand-lahou,2288105.0,100.0,CI,1607567877.0,86.0,5.14,-5.02,25.96,25.96,3.4
cidreira,3466165.0,1.0,BR,1607567877.0,85.0,-30.18,-50.21,20.04,20.04,3.01
baykit,1510689.0,96.0,RU,1607567878.0,80.0,61.67,96.37,-32.67,-32.67,0.37
pascagoula,4440397.0,1.0,US,1607567646.0,87.0,30.37,-88.56,13.0,9.29,2.89
le pont-de-claix,3002585.0,51.0,FR,1607567878.0,84.0,45.12,5.71,0.0,-2.46,2.24
hambantota,1244926.0,40.0,LK,1607567577.0,94.0,6.12,81.12,26.0,26.0,1.5
lakes entrance,2160735.0,9.0,AU,1607567878.0,49.0,-37.88,147.98,18.33,18.33,4.02
artigas,3443758.0,0.0,UY,1607567878.0,61.0,-30.4,-56.47,18.72,18.72,3.85
komsomolsk,6559559.0,22.0,UA,1607567879.0,91.0,49.01,33.65,-3.97,-3.97,4.88
ahipara,2194098.0,0.0,NZ,1607567860.0,70.0,-35.17,173.17,20.99,20.99,5.26
mayo,4362001.0,1.0,US,1607567626.0,93.0,38.89,-76.51,3.0,1.76,3.21
el escorial,3110458.0,100.0,ES,1607567879.0,84.0,40.59,-4.15,6.11,5.74,3.77
hermitage,5193309.0,90.0,US,1607567879.0,74.0,41.23,-80.45,3.0,2.52,1.5
antibes,3037456.0,0.0,FR,1607567880.0,70.0,43.56,7.13,6.67,4.85,4.1
jurm,1139085.0,57.0,AF,1607567880.0,69.0,36.86,70.83,-1.33,-1.33,2.73
bamiantong,2038482.0,45.0,CN,1607567880.0,91.0,44.93,130.53,-5.18,-5.18,4.67
ewa beach,5855051.0,90.0,US,1607567743.0,69.0,21.32,-158.01,27.0,26.13,2.6
murray bridge,2065176.0,0.0,AU,1607567881.0,54.0,-35.12,139.27,21.67,20.93,4.47
lodwar,189280.0,36.0,KE,1607567881.0,49.0,3.12,35.6,25.87,25.87,1.93
kenai,5866063.0,20.0,US,1607567881.0,85.0,60.55,-151.26,-2.22,-4.38,4.6
deer lake,5937252.0,90.0,CA,1607567759.0,93.0,49.17,-57.43,2.0,1.84,2.1
mezhdurechensk,1498920.0,100.0,RU,1607567881.0,94.0,53.69,88.06,-12.49,-12.49,1.33
bathsheba,3374083.0,40.0,BB,1607567882.0,78.0,13.22,-59.52,26.0,26.0,5.1
hamza,1513650.0,96.0,UZ,1607567882.0,86.0,40.43,71.5,1.0,1.0,0.85
akyab,1295765.0,1.0,MM,1607567703.0,62.0,20.15,92.9,22.02,22.02,2.49
hamilton,4513583.0,1.0,US,1607567882.0,80.0,39.18,-84.53,5.56,4.07,1.18
salina,4278890.0,1.0,US,1607567865.0,52.0,38.84,-97.61,8.89,7.82,2.44
college,5859699.0,75.0,US,1607567796.0,84.0,64.86,-147.8,-12.78,-14.97,1.28
primorsko,727964.0,20.0,BG,1607567883.0,87.0,42.27,27.77,13.0,13.0,6.2
belle glade,4147241.0,12.0,US,1607567883.0,100.0,26.68,-80.67,11.0,9.8,2.28
banjar,1650232.0,20.0,ID,1607567883.0,66.0,-8.19,114.97,31.0,31.0,7.2
poum,2138555.0,54.0,NC,1607567884.0,75.0,-20.23,164.02,27.74,27.74,4.35
camiri,3922414.0,70.0,BO,1607567884.0,77.0,-20.05,-63.52,18.59,18.59,1.71
mao,2514301.0,61.0,ES,1607567884.0,76.0,39.89,4.27,10.0,10.0,3.6
lata,2738381.0,100.0,PT,1607567884.0,96.0,40.16,-8.33,12.22,12.22,2.24
karratha,6620339.0,73.0,AU,1607567840.0,58.0,-20.74,116.85,31.21,31.21,5.56
lima,3936456.0,75.0,PE,1607567674.0,88.0,-12.04,-77.03,19.0,18.94,5.7
chicama,3698359.0,98.0,PE,1607567885.0,80.0,-7.84,-79.15,20.24,20.24,2.02
fare,4034496.0,74.0,PF,1607567885.0,74.0,-16.7,-151.02,27.32,27.32,6.71
sayyan,70979.0,3.0,YE,1607567885.0,67.0,15.17,44.32,5.02,5.02,1.13
kuah,1222396.0,20.0,MY,1607567885.0,79.0,6.33,99.84,29.0,28.95,3.1
aksay,583673.0,0.0,RU,1607567886.0,73.0,47.26,39.87,-4.44,-4.67,9.0
honavar,1269976.0,0.0,IN,1607567886.0,67.0,14.28,74.45,26.88,26.88,2.55
longyan,1802276.0,60.0,CN,1607567886.0,56.0,25.11,117.02,22.22,22.22,0.93
songjianghe,2034691.0,4.0,CN,1607567886.0,85.0,42.19,127.48,-1.86,-1.86,3.98
choix,4014109.0,5.0,MX,1607567886.0,53.0,26.71,-108.32,21.65,21.65,1.46
kovdor,543508.0,86.0,RU,1607567887.0,96.0,67.57,30.48,-3.53,-3.53,5.95
fort nelson,5955902.0,75.0,CA,1607567887.0,92.0,58.81,-122.7,-12.0,-12.0,1.0
nome,5870133.0,1.0,US,1607567675.0,71.0,64.5,-165.41,-13.0,-13.0,8.7
chubbuck,5588842.0,1.0,US,1607567887.0,50.0,42.92,-112.47,0.0,-0.49,4.1
acapulco,3533462.0,40.0,MX,1607567888.0,78.0,16.86,-99.89,27.0,27.0,2.1
russell,4047434.0,1.0,US,1607567888.0,75.0,32.35,-85.2,12.0,9.03,1.27
viedma,3832899.0,0.0,AR,1607567888.0,69.0,-40.81,-63.0,16.11,16.11,0.45
khash,1160571.0,100.0,IR,1607567888.0,60.0,28.22,61.22,6.77,6.77,2.89
beloha,1067565.0,0.0,MG,1607567888.0,70.0,-25.17,45.05,22.08,22.08,4.54
mehamn,778707.0,100.0,NO,1607567888.0,89.0,71.04,27.85,2.25,2.25,9.58
salisbury,2638664.0,100.0,GB,1607567889.0,100.0,51.07,-1.8,7.0,6.53,6.7
saskylakh,2017155.0,100.0,RU,1607567889.0,86.0,71.92,114.08,-27.93,-27.93,6.79
koumac,2140558.0,50.0,NC,1607567889.0,71.0,-20.57,164.28,28.57,28.57,3.84
kang,933692.0,0.0,BW,1607567889.0,56.0,-23.68,22.79,23.33,23.33,3.34
itaituba,3397967.0,93.0,BR,1607567889.0,94.0,-4.28,-55.98,23.31,23.31,0.87
panama city,3703443.0,20.0,PA,1607567792.0,88.0,8.99,-79.52,26.0,25.51,3.1
thunder bay,6166142.0,90.0,CA,1607567866.0,80.0,48.4,-89.32,2.0,1.38,3.6
diu,1272502.0,100.0,IN,1607567830.0,45.0,20.71,70.98,25.76,25.76,3.34
katsuura,2112309.0,75.0,JP,1607567890.0,81.0,35.13,140.3,13.33,11.16,5.7
itarema,3393692.0,54.0,BR,1607567890.0,80.0,-2.92,-39.92,25.9,25.9,5.49
ouadda,236901.0,65.0,CF,1607567890.0,22.0,8.08,22.4,21.91,21.91,2.33
